Episdoe: 161,  Total Steps: 24150,  Num Updates: 8191
Episdoe: 162,  Total Steps: 24300,  Num Updates: 8256
Episdoe: 163,  Total Steps: 24450,  Num Updates: 8320
Episdoe: 164,  Total Steps: 24600,  Num Updates: 8384
Episdoe: 165,  Total Steps: 24750,  Num Updates: 8449
Episdoe: 166,  Total Steps: 24900,  Num Updates: 8513
Episdoe: 167,  Total Steps: 25050,  Num Updates: 8576
Episdoe: 168,  Total Steps: 25200,  Num Updates: 8641
Episdoe: 169,  Total Steps: 25350,  Num Updates: 8705
Episdoe: 170,  Total Steps: 25500,  Num Updates: 8769
Episdoe: 171,  Total Steps: 25650,  Num Updates: 8833
Episdoe: 172,  Total Steps: 25800,  Num Updates: 8897
Episdoe: 173,  Total Steps: 25950,  Num Updates: 8961
Episdoe: 174,  Total Steps: 26100,  Num Updates: 9026
Episdoe: 175,  Total Steps: 26250,  Num Updates: 9090
Episdoe: 176,  Total Steps: 26400,  Num Updates: 9155
Episdoe: 177,  Total Steps: 26550,  Num Updates: 9219
Episdoe: 178,  Total Steps: 26700,  Num Updates: 9283
Episdoe: 179,  Total Steps: 26850,  Num Updates: 9347
Episdoe: 180,  Total Steps: 27000,  Num Updates: 9411
Episdoe: 181,  Total Steps: 27150,  Num Updates: 9475
Episdoe: 182,  Total Steps: 27300,  Num Updates: 9540
Episdoe: 183,  Total Steps: 27450,  Num Updates: 9604
Episdoe: 184,  Total Steps: 27600,  Num Updates: 9669
Episdoe: 185,  Total Steps: 27750,  Num Updates: 9734
Episdoe: 186,  Total Steps: 27900,  Num Updates: 9799
Episdoe: 187,  Total Steps: 28050,  Num Updates: 9863
Episdoe: 188,  Total Steps: 28200,  Num Updates: 9927
Episdoe: 189,  Total Steps: 28350,  Num Updates: 9992
Episdoe: 190,  Total Steps: 28500,  Num Updates: 10056
Episdoe: 191,  Total Steps: 28650,  Num Updates: 10121
Episdoe: 192,  Total Steps: 28800,  Num Updates: 10184
Episdoe: 193,  Total Steps: 28950,  Num Updates: 10249
Episdoe: 194,  Total Steps: 29100,  Num Updates: 10316
Episdoe: 195,  Total Steps: 29250,  Num Updates: 10384
Episdoe: 196,  Total Steps: 29400,  Num Updates: 10448
Episdoe: 197,  Total Steps: 29550,  Num Updates: 10513
Episdoe: 198,  Total Steps: 29700,  Num Updates: 10577
Episdoe: 199,  Total Steps: 29850,  Num Updates: 10642
Episdoe: 200,  Total Steps: 30000,  Num Updates: 10707
Episdoe: 201,  Total Steps: 30150,  Num Updates: 10772
Episdoe: 202,  Total Steps: 30300,  Num Updates: 10838
Episdoe: 203,  Total Steps: 30450,  Num Updates: 10903
Episdoe: 204,  Total Steps: 30600,  Num Updates: 10967
Episdoe: 205,  Total Steps: 30750,  Num Updates: 11031
Episdoe: 206,  Total Steps: 30900,  Num Updates: 11087
Episdoe: 207,  Total Steps: 31050,  Num Updates: 11161
Episdoe: 208,  Total Steps: 31200,  Num Updates: 11226
Episdoe: 209,  Total Steps: 31350,  Num Updates: 11290
Episdoe: 210,  Total Steps: 31500,  Num Updates: 11363
Episdoe: 211,  Total Steps: 31650,  Num Updates: 11427
Episdoe: 212,  Total Steps: 31800,  Num Updates: 11492
Episdoe: 213,  Total Steps: 31950,  Num Updates: 11556
Episdoe: 214,  Total Steps: 32100,  Num Updates: 11621
Episdoe: 215,  Total Steps: 32250,  Num Updates: 11684
Episdoe: 216,  Total Steps: 32400,  Num Updates: 11750
Episdoe: 217,  Total Steps: 32550,  Num Updates: 11815
Episdoe: 218,  Total Steps: 32700,  Num Updates: 11881
Episdoe: 219,  Total Steps: 32850,  Num Updates: 11946
Episdoe: 220,  Total Steps: 33000,  Num Updates: 12010
Episdoe: 221,  Total Steps: 33150,  Num Updates: 12075
Episdoe: 222,  Total Steps: 33300,  Num Updates: 12149
Episdoe: 223,  Total Steps: 33450,  Num Updates: 12213
