Episdoe: 207,  Total Steps: 15525,  Num Updates: 13023
Episdoe: 208,  Total Steps: 15600,  Num Updates: 13098
Episdoe: 209,  Total Steps: 15675,  Num Updates: 13173
Episdoe: 210,  Total Steps: 15750,  Num Updates: 13248
Episdoe: 211,  Total Steps: 15825,  Num Updates: 13323
Episdoe: 212,  Total Steps: 15900,  Num Updates: 13398
Episdoe: 213,  Total Steps: 15975,  Num Updates: 13473
Episdoe: 214,  Total Steps: 16050,  Num Updates: 13548
Episdoe: 215,  Total Steps: 16125,  Num Updates: 13623
Episdoe: 216,  Total Steps: 16200,  Num Updates: 13698
Episdoe: 217,  Total Steps: 16275,  Num Updates: 13773
Episdoe: 218,  Total Steps: 16350,  Num Updates: 13848
Episdoe: 219,  Total Steps: 16425,  Num Updates: 13923
Episdoe: 220,  Total Steps: 16500,  Num Updates: 13998
Episdoe: 221,  Total Steps: 16575,  Num Updates: 14073
Episdoe: 222,  Total Steps: 16650,  Num Updates: 14148
Episdoe: 223,  Total Steps: 16725,  Num Updates: 14223
Episdoe: 224,  Total Steps: 16800,  Num Updates: 14298
Episdoe: 225,  Total Steps: 16875,  Num Updates: 14373
Episdoe: 226,  Total Steps: 16950,  Num Updates: 14448
Episdoe: 227,  Total Steps: 17025,  Num Updates: 14523
Episdoe: 228,  Total Steps: 17100,  Num Updates: 14598
Episdoe: 229,  Total Steps: 17175,  Num Updates: 14673
Episdoe: 230,  Total Steps: 17250,  Num Updates: 14748
Episdoe: 231,  Total Steps: 17325,  Num Updates: 14823
Episdoe: 232,  Total Steps: 17400,  Num Updates: 14898
Episdoe: 233,  Total Steps: 17475,  Num Updates: 14973
Episdoe: 234,  Total Steps: 17550,  Num Updates: 15048
Episdoe: 235,  Total Steps: 17625,  Num Updates: 15123
Episdoe: 236,  Total Steps: 17700,  Num Updates: 15198
Episdoe: 237,  Total Steps: 17775,  Num Updates: 15273
Episdoe: 238,  Total Steps: 17850,  Num Updates: 15348
Episdoe: 239,  Total Steps: 17925,  Num Updates: 15423
Episdoe: 240,  Total Steps: 18000,  Num Updates: 15498
Episdoe: 241,  Total Steps: 18075,  Num Updates: 15573
Episdoe: 242,  Total Steps: 18150,  Num Updates: 15648
Episdoe: 243,  Total Steps: 18225,  Num Updates: 15723
Episdoe: 244,  Total Steps: 18300,  Num Updates: 15798
Episdoe: 245,  Total Steps: 18375,  Num Updates: 15873
Episdoe: 246,  Total Steps: 18450,  Num Updates: 15948
Episdoe: 247,  Total Steps: 18525,  Num Updates: 16023
Episdoe: 248,  Total Steps: 18600,  Num Updates: 16098
Episdoe: 249,  Total Steps: 18675,  Num Updates: 16173
Episdoe: 250,  Total Steps: 18750,  Num Updates: 16248
Episdoe: 251,  Total Steps: 18825,  Num Updates: 16323
Episdoe: 252,  Total Steps: 18900,  Num Updates: 16398
Episdoe: 253,  Total Steps: 18975,  Num Updates: 16473
Episdoe: 254,  Total Steps: 19050,  Num Updates: 16548
Episdoe: 255,  Total Steps: 19125,  Num Updates: 16623
Episdoe: 256,  Total Steps: 19200,  Num Updates: 16698
Episdoe: 257,  Total Steps: 19275,  Num Updates: 16773
Episdoe: 258,  Total Steps: 19350,  Num Updates: 16848
Episdoe: 259,  Total Steps: 19425,  Num Updates: 16923
Episdoe: 260,  Total Steps: 19500,  Num Updates: 16998
Episdoe: 261,  Total Steps: 19575,  Num Updates: 17073
Episdoe: 262,  Total Steps: 19650,  Num Updates: 17148
Episdoe: 263,  Total Steps: 19725,  Num Updates: 17223
Episdoe: 264,  Total Steps: 19800,  Num Updates: 17298
Episdoe: 265,  Total Steps: 19875,  Num Updates: 17373
Episdoe: 266,  Total Steps: 19950,  Num Updates: 17448
Episdoe: 267,  Total Steps: 20025,  Num Updates: 17523
Episdoe: 268,  Total Steps: 20100,  Num Updates: 17598
Episdoe: 269,  Total Steps: 20175,  Num Updates: 17673
Episdoe: 270,  Total Steps: 20250,  Num Updates: 17748
Episdoe: 271,  Total Steps: 20325,  Num Updates: 17823
Episdoe: 272,  Total Steps: 20400,  Num Updates: 17898
Episdoe: 273,  Total Steps: 20475,  Num Updates: 17973
Episdoe: 274,  Total Steps: 20550,  Num Updates: 18048
Episdoe: 275,  Total Steps: 20625,  Num Updates: 18123
Episdoe: 276,  Total Steps: 20700,  Num Updates: 18198
Episdoe: 277,  Total Steps: 20775,  Num Updates: 18273
Episdoe: 278,  Total Steps: 20850,  Num Updates: 18348
Episdoe: 279,  Total Steps: 20925,  Num Updates: 18423
Episdoe: 280,  Total Steps: 21000,  Num Updates: 18498
Episdoe: 281,  Total Steps: 21075,  Num Updates: 18573
Episdoe: 282,  Total Steps: 21150,  Num Updates: 18648
Episdoe: 283,  Total Steps: 21225,  Num Updates: 18723
Episdoe: 284,  Total Steps: 21300,  Num Updates: 18798
Episdoe: 285,  Total Steps: 21375,  Num Updates: 18873
Episdoe: 286,  Total Steps: 21450,  Num Updates: 18948
Episdoe: 287,  Total Steps: 21525,  Num Updates: 19023
Episdoe: 288,  Total Steps: 21600,  Num Updates: 19098
Episdoe: 289,  Total Steps: 21675,  Num Updates: 19173
Episdoe: 290,  Total Steps: 21750,  Num Updates: 19248
Episdoe: 291,  Total Steps: 21825,  Num Updates: 19323
Episdoe: 292,  Total Steps: 21900,  Num Updates: 19398
Episdoe: 293,  Total Steps: 21975,  Num Updates: 19473
Episdoe: 294,  Total Steps: 22050,  Num Updates: 19548
Episdoe: 295,  Total Steps: 22125,  Num Updates: 19623
Episdoe: 296,  Total Steps: 22200,  Num Updates: 19698
Episdoe: 297,  Total Steps: 22275,  Num Updates: 19773
Episdoe: 298,  Total Steps: 22350,  Num Updates: 19848
Episdoe: 299,  Total Steps: 22425,  Num Updates: 19923
Episdoe: 300,  Total Steps: 22500,  Num Updates: 19998
Episdoe: 301,  Total Steps: 22575,  Num Updates: 20073
Episdoe: 302,  Total Steps: 22650,  Num Updates: 20148
Episdoe: 303,  Total Steps: 22725,  Num Updates: 20223
Episdoe: 304,  Total Steps: 22800,  Num Updates: 20298
Episdoe: 305,  Total Steps: 22875,  Num Updates: 20373
Episdoe: 306,  Total Steps: 22950,  Num Updates: 20448
Episdoe: 307,  Total Steps: 23025,  Num Updates: 20523
Episdoe: 308,  Total Steps: 23100,  Num Updates: 20598
Episdoe: 309,  Total Steps: 23175,  Num Updates: 20673
Episdoe: 310,  Total Steps: 23250,  Num Updates: 20748
Episdoe: 311,  Total Steps: 23325,  Num Updates: 20823
Episdoe: 312,  Total Steps: 23400,  Num Updates: 20898
Episdoe: 313,  Total Steps: 23475,  Num Updates: 20973
Episdoe: 314,  Total Steps: 23550,  Num Updates: 21048
Episdoe: 315,  Total Steps: 23625,  Num Updates: 21123
Episdoe: 316,  Total Steps: 23700,  Num Updates: 21198
Episdoe: 317,  Total Steps: 23775,  Num Updates: 21273
Episdoe: 318,  Total Steps: 23850,  Num Updates: 21348
Episdoe: 319,  Total Steps: 23925,  Num Updates: 21423
Episdoe: 320,  Total Steps: 24000,  Num Updates: 21498
Episdoe: 321,  Total Steps: 24075,  Num Updates: 21573
Episdoe: 322,  Total Steps: 24150,  Num Updates: 21648
Episdoe: 323,  Total Steps: 24225,  Num Updates: 21723
Episdoe: 324,  Total Steps: 24300,  Num Updates: 21798
Episdoe: 325,  Total Steps: 24375,  Num Updates: 21873
Episdoe: 326,  Total Steps: 24450,  Num Updates: 21948
Episdoe: 327,  Total Steps: 24525,  Num Updates: 22023
Episdoe: 328,  Total Steps: 24600,  Num Updates: 22098
Episdoe: 329,  Total Steps: 24675,  Num Updates: 22173
Episdoe: 330,  Total Steps: 24750,  Num Updates: 22248
Episdoe: 331,  Total Steps: 24825,  Num Updates: 22323
Episdoe: 332,  Total Steps: 24900,  Num Updates: 22398
Episdoe: 333,  Total Steps: 24975,  Num Updates: 22473
Episdoe: 334,  Total Steps: 25050,  Num Updates: 22548
Episdoe: 335,  Total Steps: 25125,  Num Updates: 22623
Episdoe: 336,  Total Steps: 25200,  Num Updates: 22698
Episdoe: 337,  Total Steps: 25275,  Num Updates: 22773
Episdoe: 338,  Total Steps: 25350,  Num Updates: 22848
Episdoe: 339,  Total Steps: 25425,  Num Updates: 22923
Episdoe: 340,  Total Steps: 25500,  Num Updates: 22998
Episdoe: 341,  Total Steps: 25575,  Num Updates: 23073
Episdoe: 342,  Total Steps: 25650,  Num Updates: 23148
Episdoe: 343,  Total Steps: 25725,  Num Updates: 23223
Episdoe: 344,  Total Steps: 25800,  Num Updates: 23298
Episdoe: 345,  Total Steps: 25875,  Num Updates: 23373
Episdoe: 346,  Total Steps: 25950,  Num Updates: 23448
Episdoe: 347,  Total Steps: 26025,  Num Updates: 23523
Episdoe: 348,  Total Steps: 26100,  Num Updates: 23598
Episdoe: 349,  Total Steps: 26175,  Num Updates: 23673
Episdoe: 350,  Total Steps: 26250,  Num Updates: 23748
Episdoe: 351,  Total Steps: 26325,  Num Updates: 23823
Episdoe: 352,  Total Steps: 26400,  Num Updates: 23898
Episdoe: 353,  Total Steps: 26475,  Num Updates: 23973
Episdoe: 354,  Total Steps: 26550,  Num Updates: 24048
Episdoe: 355,  Total Steps: 26625,  Num Updates: 24123
Episdoe: 356,  Total Steps: 26700,  Num Updates: 24198
Episdoe: 357,  Total Steps: 26775,  Num Updates: 24273
Episdoe: 358,  Total Steps: 26850,  Num Updates: 24348
Episdoe: 359,  Total Steps: 26925,  Num Updates: 24423
Episdoe: 360,  Total Steps: 27000,  Num Updates: 24498
Episdoe: 361,  Total Steps: 27075,  Num Updates: 24573
Episdoe: 362,  Total Steps: 27150,  Num Updates: 24648
Episdoe: 363,  Total Steps: 27225,  Num Updates: 24723
Episdoe: 364,  Total Steps: 27300,  Num Updates: 24798
Episdoe: 365,  Total Steps: 27375,  Num Updates: 24873
Episdoe: 366,  Total Steps: 27450,  Num Updates: 24948
Episdoe: 367,  Total Steps: 27525,  Num Updates: 25023
Episdoe: 368,  Total Steps: 27600,  Num Updates: 25098
Episdoe: 369,  Total Steps: 27675,  Num Updates: 25173
Episdoe: 370,  Total Steps: 27750,  Num Updates: 25248
Episdoe: 371,  Total Steps: 27825,  Num Updates: 25323
Episdoe: 372,  Total Steps: 27900,  Num Updates: 25398
Episdoe: 373,  Total Steps: 27975,  Num Updates: 25473
Episdoe: 374,  Total Steps: 28050,  Num Updates: 25548
Episdoe: 375,  Total Steps: 28125,  Num Updates: 25623
Episdoe: 376,  Total Steps: 28200,  Num Updates: 25698
Episdoe: 377,  Total Steps: 28275,  Num Updates: 25773
Episdoe: 378,  Total Steps: 28350,  Num Updates: 25848
Episdoe: 379,  Total Steps: 28425,  Num Updates: 25923
Episdoe: 380,  Total Steps: 28500,  Num Updates: 25998
Episdoe: 381,  Total Steps: 28575,  Num Updates: 26073
Episdoe: 382,  Total Steps: 28650,  Num Updates: 26148
Episdoe: 383,  Total Steps: 28725,  Num Updates: 26223
Episdoe: 384,  Total Steps: 28800,  Num Updates: 26298
Episdoe: 385,  Total Steps: 28875,  Num Updates: 26373
Episdoe: 386,  Total Steps: 28950,  Num Updates: 26448
Episdoe: 387,  Total Steps: 29025,  Num Updates: 26523
Episdoe: 388,  Total Steps: 29100,  Num Updates: 26598
Episdoe: 389,  Total Steps: 29175,  Num Updates: 26673
Episdoe: 390,  Total Steps: 29250,  Num Updates: 26748
Episdoe: 391,  Total Steps: 29325,  Num Updates: 26823
