Episdoe: 151,  Total Steps: 12080,  Num Updates: 9412
Episdoe: 152,  Total Steps: 12160,  Num Updates: 9492
Episdoe: 153,  Total Steps: 12240,  Num Updates: 9572
Episdoe: 154,  Total Steps: 12320,  Num Updates: 9652
Episdoe: 155,  Total Steps: 12400,  Num Updates: 9732
Episdoe: 156,  Total Steps: 12480,  Num Updates: 9812
Episdoe: 157,  Total Steps: 12560,  Num Updates: 9892
Episdoe: 158,  Total Steps: 12640,  Num Updates: 9972
Episdoe: 159,  Total Steps: 12720,  Num Updates: 10052
Episdoe: 160,  Total Steps: 12800,  Num Updates: 10132
Episdoe: 161,  Total Steps: 12880,  Num Updates: 10212
Episdoe: 162,  Total Steps: 12960,  Num Updates: 10292
Episdoe: 163,  Total Steps: 13040,  Num Updates: 10372
Episdoe: 164,  Total Steps: 13120,  Num Updates: 10452
Episdoe: 165,  Total Steps: 13200,  Num Updates: 10532
Episdoe: 166,  Total Steps: 13280,  Num Updates: 10612
Episdoe: 167,  Total Steps: 13360,  Num Updates: 10692
Episdoe: 168,  Total Steps: 13440,  Num Updates: 10772
Episdoe: 169,  Total Steps: 13520,  Num Updates: 10852
Episdoe: 170,  Total Steps: 13600,  Num Updates: 10932
Episdoe: 171,  Total Steps: 13680,  Num Updates: 11012
Episdoe: 172,  Total Steps: 13760,  Num Updates: 11092
Episdoe: 173,  Total Steps: 13840,  Num Updates: 11172
Episdoe: 174,  Total Steps: 13920,  Num Updates: 11252
Episdoe: 175,  Total Steps: 14000,  Num Updates: 11332
Episdoe: 176,  Total Steps: 14080,  Num Updates: 11412
Episdoe: 177,  Total Steps: 14160,  Num Updates: 11492
Episdoe: 178,  Total Steps: 14240,  Num Updates: 11572
Episdoe: 179,  Total Steps: 14320,  Num Updates: 11652
Episdoe: 180,  Total Steps: 14400,  Num Updates: 11732
Episdoe: 181,  Total Steps: 14480,  Num Updates: 11812
Episdoe: 182,  Total Steps: 14560,  Num Updates: 11892
Episdoe: 183,  Total Steps: 14640,  Num Updates: 11972
Episdoe: 184,  Total Steps: 14720,  Num Updates: 12052
Episdoe: 185,  Total Steps: 14800,  Num Updates: 12132
Episdoe: 186,  Total Steps: 14880,  Num Updates: 12212
Episdoe: 187,  Total Steps: 14960,  Num Updates: 12292
Episdoe: 188,  Total Steps: 15040,  Num Updates: 12372
Episdoe: 189,  Total Steps: 15120,  Num Updates: 12452
Episdoe: 190,  Total Steps: 15200,  Num Updates: 12532
Episdoe: 191,  Total Steps: 15280,  Num Updates: 12612
Episdoe: 192,  Total Steps: 15360,  Num Updates: 12692
Episdoe: 193,  Total Steps: 15440,  Num Updates: 12772
Episdoe: 194,  Total Steps: 15520,  Num Updates: 12852
Episdoe: 195,  Total Steps: 15600,  Num Updates: 12932
Episdoe: 196,  Total Steps: 15680,  Num Updates: 13012
Episdoe: 197,  Total Steps: 15760,  Num Updates: 13092
Episdoe: 198,  Total Steps: 15840,  Num Updates: 13172
Episdoe: 199,  Total Steps: 15920,  Num Updates: 13252
Episdoe: 200,  Total Steps: 16000,  Num Updates: 13332
Episdoe: 201,  Total Steps: 16080,  Num Updates: 13412
Episdoe: 202,  Total Steps: 16160,  Num Updates: 13492
Episdoe: 203,  Total Steps: 16240,  Num Updates: 13572
Episdoe: 204,  Total Steps: 16320,  Num Updates: 13652
Episdoe: 205,  Total Steps: 16400,  Num Updates: 13732
Episdoe: 206,  Total Steps: 16480,  Num Updates: 13812
Episdoe: 207,  Total Steps: 16560,  Num Updates: 13892
Episdoe: 208,  Total Steps: 16640,  Num Updates: 13972
Episdoe: 209,  Total Steps: 16720,  Num Updates: 14052
Episdoe: 210,  Total Steps: 16800,  Num Updates: 14132
Episdoe: 211,  Total Steps: 16880,  Num Updates: 14212
Episdoe: 212,  Total Steps: 16960,  Num Updates: 14292
Episdoe: 213,  Total Steps: 17040,  Num Updates: 14372
Episdoe: 214,  Total Steps: 17120,  Num Updates: 14452
Episdoe: 215,  Total Steps: 17200,  Num Updates: 14532
Episdoe: 216,  Total Steps: 17280,  Num Updates: 14612
Episdoe: 217,  Total Steps: 17360,  Num Updates: 14692
Episdoe: 218,  Total Steps: 17440,  Num Updates: 14772
Episdoe: 219,  Total Steps: 17520,  Num Updates: 14852
Episdoe: 220,  Total Steps: 17600,  Num Updates: 14932
Episdoe: 221,  Total Steps: 17680,  Num Updates: 15012
Episdoe: 222,  Total Steps: 17760,  Num Updates: 15092
Episdoe: 223,  Total Steps: 17840,  Num Updates: 15172
Episdoe: 224,  Total Steps: 17920,  Num Updates: 15252
Episdoe: 225,  Total Steps: 18000,  Num Updates: 15332
Episdoe: 226,  Total Steps: 18080,  Num Updates: 15412
Episdoe: 227,  Total Steps: 18160,  Num Updates: 15492
Episdoe: 228,  Total Steps: 18240,  Num Updates: 15572
Episdoe: 229,  Total Steps: 18320,  Num Updates: 15652
Episdoe: 230,  Total Steps: 18400,  Num Updates: 15732
Episdoe: 231,  Total Steps: 18480,  Num Updates: 15812
Episdoe: 232,  Total Steps: 18560,  Num Updates: 15892
Episdoe: 233,  Total Steps: 18640,  Num Updates: 15972
Episdoe: 234,  Total Steps: 18720,  Num Updates: 16052
Episdoe: 235,  Total Steps: 18800,  Num Updates: 16132
Episdoe: 236,  Total Steps: 18880,  Num Updates: 16212
Episdoe: 237,  Total Steps: 18960,  Num Updates: 16292
Episdoe: 238,  Total Steps: 19040,  Num Updates: 16372
Episdoe: 239,  Total Steps: 19120,  Num Updates: 16452
Episdoe: 240,  Total Steps: 19200,  Num Updates: 16532
Episdoe: 241,  Total Steps: 19280,  Num Updates: 16612
Episdoe: 242,  Total Steps: 19360,  Num Updates: 16692
Episdoe: 243,  Total Steps: 19440,  Num Updates: 16772
Episdoe: 244,  Total Steps: 19520,  Num Updates: 16852
Episdoe: 245,  Total Steps: 19600,  Num Updates: 16932
Episdoe: 246,  Total Steps: 19680,  Num Updates: 17012
Episdoe: 247,  Total Steps: 19760,  Num Updates: 17092
Episdoe: 248,  Total Steps: 19840,  Num Updates: 17172
Episdoe: 249,  Total Steps: 19920,  Num Updates: 17252
Episdoe: 250,  Total Steps: 20000,  Num Updates: 17332
Episdoe: 251,  Total Steps: 20080,  Num Updates: 17412
Episdoe: 252,  Total Steps: 20160,  Num Updates: 17492
Episdoe: 253,  Total Steps: 20240,  Num Updates: 17572
Episdoe: 254,  Total Steps: 20320,  Num Updates: 17652
Episdoe: 255,  Total Steps: 20400,  Num Updates: 17732
Episdoe: 256,  Total Steps: 20480,  Num Updates: 17812
Episdoe: 257,  Total Steps: 20560,  Num Updates: 17892
Episdoe: 258,  Total Steps: 20640,  Num Updates: 17972
Episdoe: 259,  Total Steps: 20720,  Num Updates: 18052
Episdoe: 260,  Total Steps: 20800,  Num Updates: 18132
Episdoe: 261,  Total Steps: 20880,  Num Updates: 18212
Episdoe: 262,  Total Steps: 20960,  Num Updates: 18292
Episdoe: 263,  Total Steps: 21040,  Num Updates: 18372
Episdoe: 264,  Total Steps: 21120,  Num Updates: 18452
Episdoe: 265,  Total Steps: 21200,  Num Updates: 18532
